query,rnk,exempt_flag,row_ingested
cetaphil night cream,68579,1,1759250535309
cetaphil baby soap,70598,1,1759250535309
cetaphil moisturizer cream,78107,1,1759250535309
cetaphil sunscreen spf50,91247,1,1759250535309
cetaphil cream,100474,1,1759250535309
cetaphil cleanser for dry skin,113033,1,1759250535309
cetaphil baby body lotion,117851,1,1759250535309
cetaphil moisture,123208,1,1759250535309
cetaphil cleanser for oily skin,123741,1,1759250535309
cetaphil gentle cleanser,129458,1,1759250535309
cetaphil soap,152325,1,1759250535309
cetaphil lotion,160929,1,1759250535309
cetaphil gentle skin cleanser,185724,1,1759250535309
cetaphil face wash for oily,186416,1,1759250535309
cetaphil face cream,216968,1,1759250535309
cetaphil moisturizer for sensitive skin,218256,1,1759250535309
cetaphil baby lotion,219380,1,1759250535309
cetaphil skin cleanser,224249,1,1759250535309
cetaphil oily skin cleanser,238946,1,1759250535309
face wash cetaphil,239756,1,1759250535309
cetaphil baby shampoo,251417,1,1759250535309
cetaphil product,266475,1,1759250535309
cetaphil face moisturizer,269489,1,1759250535309
cetaphil face wash combo,270953,1,1759250535309
cetaphil face cleanser,301879,1,1759250535309
cetaphil serum,304190,1,1759250535309
cetaphil baby cream,305181,1,1759250535309
cetaphil oily skin face wash,315098,1,1759250535309
cetaphil toner,353125,1,1759250535309
sunscreen cetaphil,354910,1,1759250535309
cetaphil baby,360774,1,1759250535309
cetaphil moisturising cream,364249,1,1759250535309
cleanser cetaphil,366427,1,1759250535309
cetaphil moisturizer for oily skin,366941,1,1759250535309
cetaphil face wash for dry,419921,1,1759250535309
cetaphil baby product,424085,1,1759250535309
cetaphil moisturizing lotion,424392,1,1759250535309
cetaphil body lotion,426403,1,1759250535309
cetaphil moisturizer lotion,430836,1,1759250535309
cetaphil face serum,442638,1,1759250535309
cetaphil oily skin,442794,1,1759250535309
cetaphil oil skin cleanser,492440,1,1759250535309
cetaphil gentle skin cleanser 25,507450,1,1759250535309
cetaphil cream for dry skin,535151,1,1759250535309
cetaphil face,538916,1,1759250535309
cetaphil dam moisturizer,545497,1,1759250535309
cetaphil facewash,557075,1,1759250535309
cetaphil shampoo,567849,1,1759250535309
moisturizer cetaphil,569724,1,1759250535309
cetaphil cleaner,581244,1,1759250535309
cetaphil cleanser and moisturizer,582371,1,1759250535309
cetaphil moisturizer for dry skin,584585,1,1759250535309
cetaphil face wash for oily skin,589707,1,1759250535309
cetaphil bright healthy radiance,598072,1,1759250535309
cetaphil dam,602032,1,1759250535309
cetaphil body wash,603360,1,1759250535309
cetaphil face wash oily skin,606394,1,1759250535309
cetaphil face wash dry skin,607365,1,1759250535309
cetaphil combo,635751,1,1759250535309
cetaphil all product,662747,1,1759250535309
cetaphil day cream,665702,1,1759250535309
cetaphil kit,668852,1,1759250535309
cetaphil face 125ml,675307,1,1759250535309
iphone,389367,null,1759250535309
mini iphone,15101,null,1759250535309
mobile iphone,5081,null,1759250535309
small iphone,4528,null,1759250535309
phone iphone,2693,null,1759250535309
ipad ipad,2308,null,1759250535309
real iphone,2241,null,1759250535309
iphone15,1740,null,1759250535309
dummy iphone,1710,null,1759250535309
original iphone,1240,null,1759250535309
5000 iphone,1053,null,1759250535309
child iphone,1009,null,1759250535309
ipad mobile,862,null,1759250535309
ipad phone,855,null,1759250535309
flip mobile phone,838,null,1759250535309
artificial iphone,782,null,1759250535309
kids iphone,771,null,1759250535309
100000 iphone,705,null,1759250535309
iphone13,701,null,1759250535309
new iphone,616,null,1759250535309
small wala iphone,450,null,1759250535309
mobile phone iphone,436,null,1759250535309
13 pro,405,null,1759250535309
secondhand iphone,375,null,1759250535309
expensive iphone,373,null,1759250535309
ultra pro max,371,null,1759250535309
15 pro,355,null,1759250535309
1 rupee iphone,355,null,1759250535309
asali iphone,352,null,1759250535309
14 pro max,335,null,1759250535309
13 pro max,332,null,1759250535309
world ka sabse small iphone,319,null,1759250535309
ultra pro,319,null,1759250535309
duplicate iphone,302,null,1759250535309
smallest iphone,301,null,1759250535309
smart phone iphone,291,null,1759250535309
12 pro,284,null,1759250535309
demo iphone,273,null,1759250535309
iphonemobile,258,null,1759250535309
150000 iphone,253,null,1759250535309
i iphone,241,null,1759250535309
chota iphone,239,null,1759250535309
waterproof iphone,237,null,1759250535309
10000 iphone,226,null,1759250535309
airbus iphone,220,null,1759250535309
girl iphone,201,null,1759250535309
baby iphone,201,null,1759250535309
pink iphone,193,null,1759250535309
1000 iphone,191,null,1759250535309
500 iphone,180,null,1759250535309
world iphone,173,null,1759250535309
50 iphone,170,null,1759250535309
2000 iphone,164,null,1759250535309
gold iphone,161,null,1759250535309
old iphone,158,null,1759250535309
iphonex,156,null,1759250535309
mini buddy iphone,147,null,1759250535309
bts iphone,123,null,1759250535309
13 iphone,123,null,1759250535309
15 pro max iphone,122,null,1759250535309
boy iphone,114,null,1759250535309
mi iphone,105,null,1759250535309
car iphone,103,null,1759250535309
1 iphone,103,null,1759250535309
miniature iphone,98,null,1759250535309
big iphone,95,null,1759250535309
5 rupee iphone,92,null,1759250535309
3 camera iphone,92,null,1759250535309
dami phone iphone,88,null,1759250535309
tom and jerry iphone,81,null,1759250535309
second phone iphone,79,null,1759250535309
200 iphone,75,null,1759250535309
iphone7,70,null,1759250535309
mani iphone,67,null,1759250535309
my iphone,64,null,1759250535309
white iphone,62,null,1759250535309
mini phone iphone,62,null,1759250535309
android iphone,59,null,1759250535309
crore iphone,58,null,1759250535309
3000 iphone,58,null,1759250535309
x iphone,57,null,1759250535309
refurbished iphone,56,null,1759250535309
chhote kids ke liye iphone,54,null,1759250535309
mene iphone,50,null,1759250535309
mother iphone,47,null,1759250535309
china iphone,45,null,1759250535309
second hand iphone,39,null,1759250535309
m iphone,38,null,1759250535309
5 iphone,38,null,1759250535309
25000 iphone,37,null,1759250535309
blue iphone,35,null,1759250535309
xx iphone,34,null,1759250535309
smart iphone,34,null,1759250535309
mini smart phone iphone,34,null,1759250535309
200 rupee iphone,34,null,1759250535309
world smallest iphone,29,null,1759250535309
mobileiphone,29,null,1759250535309
second iphone,28,null,1759250535309
xs iphone,27,null,1759250535309
dumi iphone,27,null,1759250535309
chennai iphone,27,null,1759250535309
show iphone,26,null,1759250535309
water iphone,25,null,1759250535309
short iphone,25,null,1759250535309
mine iphone,24,null,1759250535309
iphone15 mobile,24,null,1759250535309
20 iphone,24,null,1759250535309
techno iphone,23,null,1759250535309
plastic iphone,23,null,1759250535309
12000 iphone,21,null,1759250535309
iphonemini,20,null,1759250535309
fake dummy iphone,20,null,1759250535309
affordable iphone,20,null,1759250535309
child phone iphone,19,null,1759250535309
diamond iphone,17,null,1759250535309
2 iphone,17,null,1759250535309
13 pro iphone,17,null,1759250535309
80000 iphone,16,null,1759250535309
30 iphone,16,null,1759250535309
mini real iphone,15,null,1759250535309
mi 10 iphone,15,null,1759250535309
chor bazaar iphone,14,null,1759250535309
cheapest iphone,14,null,1759250535309
used iphone,13,null,1759250535309
mini original iphone,13,null,1759250535309
chhath iphone,13,null,1759250535309
a iphone,13,null,1759250535309
8 iphone,13,null,1759250535309
single iphone,12,null,1759250535309
huawei nova 3 iphone,12,null,1759250535309
double iphone,11,null,1759250535309
zero iphone,10,null,1759250535309
xr iphone,10,null,1759250535309
promax iphone,10,null,1759250535309
nothing 2 iphone,10,null,1759250535309
minni iphone,10,null,1759250535309
micromax iphone,10,null,1759250535309
asli phone iphone,10,null,1759250535309
13 pro max iphone,10,null,1759250535309
foldable iphone,9,null,1759250535309
dummi iphone,9,null,1759250535309
demo phone iphone99,9,null,1759250535309
odia iphone,8,null,1759250535309
iphone11,8,null,1759250535309
diwali iphone,8,null,1759250535309
boro iphone,8,null,1759250535309
sanu iphone,7,null,1759250535309
miniest iphone,7,null,1759250535309
actor iphone,7,null,1759250535309
16 iphone,7,null,1759250535309
smart phone mobile iphone,6,null,1759250535309
i phone 6 mobile,6,null,1759250535309
app iphone,6,null,1759250535309
2 karod ka iphone,6,null,1759250535309
10 iphone,6,null,1759250535309
purana model iphone,5,null,1759250535309
original mini iphone,5,null,1759250535309
mobile phone 5g iphone,5,null,1759250535309
meny iphone,5,null,1759250535309
imo iphone,5,null,1759250535309
dumy iphone,5,null,1759250535309
branded new iphone,5,null,1759250535309
16 pro max iphone,5,null,1759250535309
world smallest mini iphone,4,null,1759250535309
ultrapromax iphone,4,null,1759250535309
little one kids iphone,4,null,1759250535309
i phone 13 pro mobile,4,null,1759250535309
galaxy a 14 5 g iphone,4,null,1759250535309
colorful iphone,4,null,1759250535309
600 rs mini iphone,4,null,1759250535309
1 core iphone,4,null,1759250535309
white color ka iphone,3,null,1759250535309
l phone 15 mobile,3,null,1759250535309
face iphone,3,null,1759250535309
dimi iphone,3,null,1759250535309
80 hajar ka iphone,3,null,1759250535309
voter iphone,2,null,1759250535309
priyanka iphone,2,null,1759250535309
new launch iphone,2,null,1759250535309
many iphone,2,null,1759250535309
iphone12,2,null,1759250535309
i want i want iphone,2,null,1759250535309
i phone15 mobile,2,null,1759250535309
dubliket iphone,2,null,1759250535309
baby new iphone,2,null,1759250535309
4000 tak ka iphone,2,null,1759250535309
300 ka iphone,2,null,1759250535309
20 lakh wala iphone,2,null,1759250535309
watermel iphone,1,null,1759250535309
upper wala iphone,1,null,1759250535309
thegiftkart genuine leather finish iphone,1,null,1759250535309
rs1 ka iphone,1,null,1759250535309
rs 3000 ka iphone,1,null,1759250535309
phones phones iphones,1,null,1759250535309
mobile xs iphone,1,null,1759250535309
kids phone iphone,1,null,1759250535309
keypad mobile china iphone,1,null,1759250535309
iphone12 5g,1,null,1759250535309
iphone11 mobile,1,null,1759250535309
infix hot 40i iphone,1,null,1759250535309
gaming phone iphone,1,null,1759250535309
dumyy iphone,1,null,1759250535309
dugo camera wala iphone,1,null,1759250535309
best quality iphone,1,null,1759250535309
5 g phone iphone,1,null,1759250535309
2 year iphone,1,null,1759250535309
2 nd hand iphone,1,null,1759250535309
10000000 ka iphone,1,null,1759250535309
7 iphone,null,null,1759250535309
asu zenfone max pro m,1203,null,1759250535309
asus,316,null,1759250535309
asu zenfone max pro m 2,285,null,1759250535309
asus rog 8 pro mobile,2,null,1759250535309
asus mobile combo,1,null,1759250535309
asus 6 z mobile,1,null,1759250535309
zenfone,273,null,1759250535309
google,44908,null,1759250535309
pixel,1391,null,1759250535309
google phone,1014,null,1759250535309
google mobile,773,null,1759250535309
google pixel mobile,380,null,1759250535309
google pixel 9 pro mobile,21,null,1759250535309
google pixel 3 a mobile,3,null,1759250535309
google pixel mobile 5 g,2,null,1759250535309
google pixel 6 a,601,null,1759250535309
google pixel,514,null,1759250535309
google pixel 7a,505,null,1759250535309
i kall mobile phone,3315,null,1759250535309
i kall phone,2719,null,1759250535309
i kall,2250,null,1759250535309
i kall mobile,2143,null,1759250535309
i kall smart phone,335,null,1759250535309
i kall z 19 pro mobile,306,null,1759250535309
i kall mobile phone 6000,302,null,1759250535309
i kall z19,281,null,1759250535309
i kall z19 pro mobile,263,null,1759250535309
ikall mobile,206,null,1759250535309
i kall keypad mobile,164,null,1759250535309
i kall s2 pro mobile,27,null,1759250535309
i kall k 333 mobile,15,null,1759250535309
i kall mobile 8 128,10,null,1759250535309
l kall mobile,5,null,1759250535309
ikall z19 mobile,5,null,1759250535309
ikall mobile phone s2,5,null,1759250535309
i kall s 2 mobile phone,5,null,1759250535309
i kall k 41 mobile,5,null,1759250535309
i kall mobile phone s2,2,null,1759250535309
intel mobile,96,null,1759250535309
intel mobile s23,1,null,1759250535309
intex mobile,1932,null,1759250535309
intex phone,557,null,1759250535309
intex mini,441,null,1759250535309
intex mobile phone,184,null,1759250535309
intex mobile 5g,128,null,1759250535309
intex ka mobile,null,null,1759250535309
faces canada foundation,595307,1,1759250535309
faces canada lipstick,595305,1,1759250535309
faces canada,595303,1,1759250535309
faces canada strobe cream,595301,1,1759250535309
faces canada cream,595299,1,1759250535309
faces canada kajal,595297,1,1759250535309
faces canada compact,595295,1,1759250535309
faces canada silver cream,595293,1,1759250535309
faces canada makeup fixer,595291,1,1759250535309
faces canada blush,595289,1,1759250535309
faces canada waterproof,595287,1,1759250535309
faces canada stroke cream,595285,1,1759250535309
faces canada 3 in 1 foundation,595283,1,1759250535309
faces canada stone cream,595281,1,1759250535309
faces canada product,595279,1,1759250535309
faces canada foundation,595277,1,1759250535309
faces canada lipstick,595275,1,1759250535309
faces canada,595273,1,1759250535309
faces canada strobe cream,595271,1,1759250535309
faces canada kajal,595269,1,1759250535309
faces canada cream,595267,1,1759250535309
faces canada compact,595265,1,1759250535309
faces canada silver cream,595263,1,1759250535309
faces canada makeup fixer,595261,1,1759250535309
faces canada rose gold strobe cream,595259,1,1759250535309
faces canada waterproof,595257,1,1759250535309
faces canada blush,595255,1,1759250535309
faces canada stroke cream,595253,1,1759250535309
faces canada 3 in 1 foundation,595251,1,1759250535309
faces canada stone cream,595249,1,1759250535309
faces canada product,595247,1,1759250535309
faces canada foundation,595245,1,1759250535309
faces canada lipstick,595243,1,1759250535309
faces canada,595241,1,1759250535309
faces canada strobe cream,595239,1,1759250535309
faces canada kajal,595237,1,1759250535309
faces canada cream,595235,1,1759250535309
faces canada compact,595233,1,1759250535309
faces canada waterproof,595231,1,1759250535309
faces canada stroke cream,595229,1,1759250535309
faces canada 3 in 1 foundation,595227,1,1759250535309
faces canada stone cream,595225,1,1759250535309
faces canada silver cream,595223,1,1759250535309
faces canada product,595221,1,1759250535309
faces canada blush,595219,1,1759250535309
faces canada foundation,595217,1,1759250535309
faces canada lipstick,595215,1,1759250535309
faces canada,595213,1,1759250535309
faces canada strobe cream,595211,1,1759250535309
faces canada kajal,595209,1,1759250535309
faces canada cream,595207,1,1759250535309
faces canada compact,595205,1,1759250535309
faces canada silver cream,595203,1,1759250535309
faces canada makeup fixer,595201,1,1759250535309
faces canada rose gold strobe cream,595199,1,1759250535309
faces canada blush,595197,1,1759250535309
faces canada waterproof,595195,1,1759250535309
faces canada stroke cream,595193,1,1759250535309
faces canada 3 in 1 foundation,595191,1,1759250535309
faces canada stone cream,595189,1,1759250535309
faces canada product,595187,1,1759250535309
faces canada foundation,595185,1,1759250535309
faces canada lipstick,595183,1,1759250535309
faces canada strobe cream,595181,1,1759250535309
faces canada,595179,1,1759250535309
faces canada cream,595177,1,1759250535309
faces canada compact,595175,1,1759250535309
faces canada kajal,595173,1,1759250535309
faces canada waterproof,595171,1,1759250535309
faces canada 3 in 1 foundation,595169,null,1759250535309
faces canada stroke cream,595167,null,1759250535309
faces canada stone cream,595165,null,1759250535309
faces canada product,595163,null,1759250535309
faces canada blush,595161,null,1759250535309
faces canada foundation,595159,null,1759250535309
faces canada lipstick,595157,null,1759250535309
faces canada,595155,null,1759250535309
faces canada strobe cream,595153,null,1759250535309
faces canada kajal,595151,null,1759250535309
faces canada cream,595149,null,1759250535309
faces canada compact,595147,null,1759250535309
faces canada silver cream,595145,null,1759250535309
faces canada makeup fixer,595143,null,1759250535309
faces canada strobecream,595141,null,1759250535309
faces canada rose gold strobe cream,595139,null,1759250535309
faces canada waterproof,595137,null,1759250535309
faces canada blush,595135,null,1759250535309
faces canada stroke cream,595133,null,1759250535309
faces canada 3 in 1 foundation,595131,null,1759250535309
faces canada stone cream,595129,null,1759250535309
faces canada product,595127,null,1759250535309
faces canada kit,595125,null,1759250535309
faces canada foundation,595123,null,1759250535309
faces canada lipstick,595121,null,1759250535309
faces canada,595119,null,1759250535309
faces canada strobe cream,595117,null,1759250535309
faces canada cream,595115,null,1759250535309
faces canada compact,595113,null,1759250535309
faces canada kajal,595111,null,1759250535309
faces canada waterproof,595109,null,1759250535309
faces canada silver cream,595107,null,1759250535309
faces canada stroke cream,595105,null,1759250535309
faces canada 3 in 1 foundation,595103,null,1759250535309
faces canada stone cream,595101,null,1759250535309
faces canada product,595099,null,1759250535309
faces canada blush,595097,null,1759250535309
faces canada foundation,595095,null,1759250535309
faces canada lipstick,595093,null,1759250535309
faces canada,595091,null,1759250535309
faces canada strobe cream,595089,null,1759250535309
faces canada kajal,595087,null,1759250535309
faces canada cream,595085,null,1759250535309
faces canada compact,595083,null,1759250535309
faces canada makeup fixer,595081,null,1759250535309
faces canada silver cream,595079,null,1759250535309
faces canada strobecream,595077,null,1759250535309
faces canada rose gold strobe cream,595075,null,1759250535309
faces canada ultime pro makeup,595073,null,1759250535309
faces canada waterproof,595071,null,1759250535309
faces canada blush,595069,null,1759250535309
faces canada stroke cream,595067,null,1759250535309
faces canada 3 in 1 foundation,595065,null,1759250535309
faces canada stone cream,595063,null,1759250535309
faces canada product,595061,null,1759250535309
faces canada kit,595059,null,1759250535309
faces canada lipstick,595057,null,1759250535309
faces canada foundation,595055,null,1759250535309
faces canada,595053,null,1759250535309
faces canada strobe cream,595051,null,1759250535309
faces canada kajal,595049,null,1759250535309
faces canada cream,595047,null,1759250535309
faces canada compact,595045,null,1759250535309
faces canada silver cream,595043,null,1759250535309
faces canada makeup fixer,595041,null,1759250535309
faces canada strobecream,595039,null,1759250535309
faces canada rose gold strobe cream,595037,null,1759250535309
faces canada waterproof,595035,null,1759250535309
faces canada blush,595033,null,1759250535309
faces canada stroke cream,595031,null,1759250535309
faces canada 3 in 1 foundation,595029,null,1759250535309
faces canada stone cream,595027,null,1759250535309
faces canada product,595025,null,1759250535309
faces canada kit,595023,null,1759250535309
faces canada foundation,595021,null,1759250535309
faces canada lipstick,595019,null,1759250535309
faces canada strobe cream,595017,null,1759250535309
faces canada,595015,null,1759250535309
faces canada cream,595013,null,1759250535309
faces canada kajal,595011,null,1759250535309
faces canada compact,595009,null,1759250535309
faces canada waterproof,595007,null,1759250535309
faces canada 3 in 1 foundation,595005,null,1759250535309
faces canada stroke cream,595003,null,1759250535309
faces canada stone cream,595001,null,1759250535309
faces canada product,594999,null,1759250535309
faces canada blush,594997,null,1759250535309
faces canada foundation,594995,null,1759250535309
faces canada lipstick,594993,null,1759250535309
faces canada,594991,null,1759250535309
faces canada strobe cream,594989,null,1759250535309
faces canada kajal,594987,null,1759250535309
faces canada cream,594985,null,1759250535309
faces canada compact,594983,null,1759250535309
faces canada makeup fixer,594981,null,1759250535309
faces canada silver cream,594979,null,1759250535309
faces canada strobecream,594977,null,1759250535309
faces canada rose gold strobe cream,594975,null,1759250535309
faces canada ultime pro makeup,594973,null,1759250535309
faces canada waterproof,594971,null,1759250535309
faces canada blush,594969,null,1759250535309
faces canada 3 in 1 foundation,594967,null,1759250535309
faces canada stroke cream,594965,null,1759250535309
faces canada stone cream,594963,null,1759250535309
faces canada product,594961,null,1759250535309
faces canada kit,594959,null,1759250535309
itel mobile,11564,null,1759250535309
itel,7609,null,1759250535309
itel p40,2718,null,1759250535309
itel p 55 5 g,2482,null,1759250535309
itel a 70,2151,null,1759250535309
itel s 23,2036,null,1759250535309
itel keypad mobile,1096,null,1759250535309
itel p 55,1076,null,1759250535309
itel a 48,1023,null,1759250535309
itel a 05 s,1011,null,1759250535309
itel mobile battery,880,null,1759250535309
itel mobile keypad,838,null,1759250535309
itel mobile phone,704,null,1759250535309
itel keypad mobile phone,635,null,1759250535309
itel a 60,619,null,1759250535309
itel phone,604,null,1759250535309
itel vision 2 s,565,null,1759250535309
itel a 60 s,534,null,1759250535309
itel a 70 mobile,526,null,1759250535309
mobile itel,507,null,1759250535309
itel 23,421,null,1759250535309
itel vision1 pro,404,null,1759250535309
itel feature phone,395,null,1759250535309
itel 70,393,null,1759250535309
itel a 663 l,382,null,1759250535309
itel color pro 5 g,346,null,1759250535309
itel ka mobile,317,null,1759250535309
itel p 40 mobile,313,null,1759250535309
itel 5 g,308,null,1759250535309
keypad mobile itel,286,null,1759250535309
itel a 23 pro phone,286,null,1759250535309
itel a 23 pro,286,null,1759250535309
itel a 49,263,null,1759250535309
itel smart phone,256,null,1759250535309
itel a 48 battery,249,null,1759250535309
itel 5g mobile,244,null,1759250535309
itel 60,235,null,1759250535309
itel p 40,228,null,1759250535309
phone itel,227,null,1759250535309
itel 40,222,null,1759250535309
itel 05 s,217,null,1759250535309
itel ao 5 s,210,null,1759250535309
